date,open,high,low,close,volume,amount,pctChg,turn
2024-07-31,37.62907356,38.7759684,37.5471525,38.73955904,58087783,2450880159.96,2.976,0.5397
2024-08-01,38.61212628,39.0035269,38.46648884,38.69404734,32514038,1383461986.97,-0.1175,0.3021
2024-08-02,38.43918182,38.60302394,37.9567578,38.06598588,33137257,1392534223.86,-1.6231,0.3079
2024-08-05,37.9567578,38.72135436,37.94765546,38.229828,43050914,1813319978.54,0.4304,0.4
2024-08-06,38.56661458,38.66674032,36.99190976,37.2285706,63434323,2614553598.48,-2.619,0.5894
2024-08-07,37.24677528,37.41971974,37.02831912,37.0465238,29978095,1225524961.3,-0.489,0.2785
2024-08-08,37.0920355,37.4561291,36.78255594,37.15575188,23643241,964682590.76,0.2948,0.2197
2024-08-09,37.31049166,37.53805016,36.96460274,36.96460274,26178496,1069136978.68,-0.5145,0.2432
2024-08-12,36.89178402,37.07383082,36.69153254,36.97370508,15219904,617325021.79,0.0246,0.1414
2024-08-13,36.97370508,37.14664954,36.87357934,37.11934252,16650599,677002645.74,0.3939,0.1547
2024-08-14,37.14664954,37.26497996,36.85537466,36.85537466,20650428,838935305.86,-0.7111,0.1919
2024-08-15,36.87357934,37.92945078,36.60961148,37.61086888,53416705,2202784576.02,2.0499,0.4963
2024-08-16,37.61086888,38.0022695,37.5471525,37.87483674,26957357,1119345318.47,0.7018,0.2505
2024-08-19,37.87483674,38.38456778,37.85663206,38.29354438,28791203,1209599525.52,1.1055,0.2675
2024-08-20,38.3663631,38.38456778,37.9567578,38.15700928,29376286,1230963340.51,-0.3565,0.2729
2024-08-21,38.21162332,38.30264672,37.69278994,38.20252098,23617412,989256296.75,0.1193,0.2194
2024-08-22,38.19341864,38.4573865,37.90214376,37.96586014,30497656,1275507521.72,-0.6195,0.2834
2024-08-23,38.26623736,39.55876964,38.16611162,39.4586439,99423443,4271882125.87,3.9319,0.9238
2024-08-26,39.55876964,39.72261176,39.1855737,39.4586439,47580560,2059591116.31,0.0,0.4421
2024-08-27,39.39492752,39.6406907,39.10365264,39.2765971,33964677,1467947188.78,-0.4614,0.3156
2024-08-28,39.35851816,39.48595092,39.07634562,39.31300646,34839474,1502990666.44,0.0927,0.3237
2024-08-29,39.30390412,39.64979304,38.64853564,38.79417308,47694548,2045077628.83,-1.3197,0.4431
2024-08-30,38.87609414,40.53272002,38.87609414,40.07760302,110000601,4830979921.49,3.3083,1.0221
2024-09-02,39.94106792,40.20503578,39.5496673,39.5496673,51317124,2243546045.27,-1.3173,0.4768
2024-09-03,39.69530474,39.70440708,39.21288072,39.33121114,36821975,1593821144.03,-0.5524,0.3421
2024-09-04,39.34031348,39.72261176,38.6394333,38.81237776,40994906,1759519238.69,-1.3191,0.3809
2024-09-05,38.80327542,39.60428134,38.78507074,39.52236028,46651108,2014905549.27,1.8293,0.4335
2024-09-06,39.52236028,40.03209132,39.28569944,39.3676205,39025775,1699389016.95,-0.3915,0.3626
2024-09-09,39.21288072,39.3676205,38.7304567,38.84878712,40172454,1720343645.67,-1.3179,0.3733
2024-09-10,38.9125035,39.1855737,38.49379586,38.83058244,29365589,1251507268.88,-0.0469,0.2728
2024-09-11,38.81237776,39.06724328,38.56661458,38.70314968,27407424,1167516314.99,-0.3282,0.2547
2024-09-12,38.89429882,38.93070818,38.06598588,38.7759684,41083853,1739432818.75,0.1881,0.3817
2024-09-13,38.73955904,39.5041556,38.684945,39.03993626,34439648,1484769941.35,0.6808,0.32
2024-09-18,39.140062,39.85914686,39.07634562,39.7772258,43263824,1883001068.24,1.8886,0.402
2024-09-19,39.79543048,40.1413194,39.43133688,40.07760302,46650032,2046412473.01,0.7551,0.4334
2024-09-20,40.03209132,40.31426386,39.81363516,40.1868311,53292373,2347055960.55,0.2725,0.4952
2024-09-23,40.16862642,40.4143896,39.92286324,40.13221706,29524048,1302373908.58,-0.1359,0.2743
2024-09-24,40.5964364,42.325881,40.47810598,42.325881,120899198,5518430623.24,5.4661,1.1233
2024-09-25,43.3271384,43.8732788,43.0085565,43.10868224,138298492,6594953850.77,1.8495,1.285
2024-09-26,43.31803606,45.91220296,42.9630448,45.89399828,163765259,8023977091.65,6.4611,1.5216
2024-09-27,47.2411446,47.47780544,46.1488638,47.2411446,139487740,7197182303.76,2.9353,1.296
2024-09-30,49.58954832,51.96525906,49.5167296,51.96525906,262125405,14733344152.8,10.0,2.4355
2024-10-08,57.1626952,57.1626952,53.7948294,56.18874482,396104253,24440888194.8,8.1275,3.6804
2024-10-09,54.61404,54.61404,50.6545221,50.7000338,285509557,16431475144.11,-9.7683,2.6528
2024-10-10,51.54655142,55.15107806,51.25527654,53.248689,222672969,12981664827.18,5.0269,2.0689
2024-10-11,52.6115252,54.48660724,51.91064502,52.37486436,131212381,7645831882.44,-1.641,1.2191
2024-10-14,53.14856326,53.92226216,52.3839667,53.40342878,117773767,6884203094.57,1.9639,1.0943
2024-10-15,53.32150772,53.95867152,51.96525906,52.05628246,102790028,5988622376.53,-2.5226,0.9551
2024-10-16,51.68308652,52.63883222,51.52834674,52.22922692,85501630,4894961073.69,0.3322,0.7944
2024-10-17,52.7025486,53.5217592,51.85603098,51.883338,78357477,4529673855.11,-0.6623,0.728
2024-10-18,51.88330928,53.9834361,50.6528385,52.90099188,149466236,8417973824.14,1.9615,1.3887
2024-10-21,53.1045284,53.16929002,51.97582588,52.6419454,87531258,4966469517.03,-0.4897,0.8133
2024-10-22,52.5494288,53.8446612,52.34589228,52.78997196,84601119,4835443519.87,0.2812,0.7861
2024-10-23,52.9194952,54.8623438,52.6419454,53.94642946,119192651,6939592003.78,2.1907,1.1075
2024-10-24,53.5671114,54.10370768,53.31731658,53.7521446,51273005,2976336248.6,-0.3601,0.4764
